name,value,year,lastValue,rank
OKUHARA Nozomi,118660,2018.41,118660,3
PUSARLA V. Sindhu,117666,2018.41,117666,4
CHEN Yufei,116672,2018.41,116672,5
YAMAGUCHI Akane,115678,2018.41,115678,6
HE Bingjiao,114684,2018.41,114684,7
INTANON Ratchanok,113690,2018.41,113690,8
NEHWAL Saina,112696,2018.41,112696,9
ZHANG Beiwen,111702,2018.41,111702,10
TAI Tzu Ying,148753,2018.42,148753,1
MARIN Carolina,139766,2018.42,139766,2
OKUHARA Nozomi,130779,2018.42,130779,3
CHEN Yufei,121792,2018.42,121792,4
YAMAGUCHI Akane,112805,2018.42,112805,5
PUSARLA V. Sindhu,103818,2018.42,103818,6
HE Bingjiao,94831,2018.42,94831,7
INTANON Ratchanok,85844,2018.42,85844,8
NEHWAL Saina,76857,2018.42,76857,9
SUNG Ji Hyun,67870,2018.42,67870,10
TAI Tzu Ying,110000,2018.43,110000,1
MARIN Carolina,90000,2018.43,90000,2
OKUHARA Nozomi,80000,2018.43,80000,3
CHEN Yufei,70000,2018.43,70000,4
YAMAGUCHI Akane,60000,2018.43,60000,5
PUSARLA V. Sindhu,50000,2018.43,50000,6
HE Bingjiao,40000,2018.43,40000,7
INTANON Ratchanok,30000,2018.43,30000,8
NEHWAL Saina,20000,2018.43,20000,9
TAKAHASHI Sayaka,10000,2018.43,10000,10
TAI Tzu Ying,120000,2018.44,120000,1
OKUHARA Nozomi,110000,2018.44,110000,2
MARIN Carolina,100000,2018.44,100000,3
CHEN Yufei,90000,2018.44,90000,4
YAMAGUCHI Akane,80000,2018.44,80000,5
PUSARLA V. Sindhu,70000,2018.44,70000,6
HE Bingjiao,60000,2018.44,60000,7
INTANON Ratchanok,50000,2018.44,50000,8
NEHWAL Saina,40000,2018.44,40000,9
TAKAHASHI Sayaka,30000,2018.44,30000,10
TAI Tzu Ying,129876,2018.45,129876,1
OKUHARA Nozomi,115879,2018.45,115879,2
MARIN Carolina,101882,2018.45,101882,3
CHEN Yufei,87885,2018.45,87885,4
YAMAGUCHI Akane,73888,2018.45,73888,5
PUSARLA V. Sindhu,59891,2018.45,59891,6
HE Bingjiao,45894,2018.45,45894,7
INTANON Ratchanok,31897,2018.45,31897,8
NEHWAL Saina,17900,2018.45,17900,9
SUNG Ji Hyun,3903,2018.45,3903,10
TAI Tzu Ying,138970,2018.46,138970,1
OKUHARA Nozomi,126750,2018.46,126750,2
MARIN Carolina,114530,2018.46,114530,3
CHEN Yufei,102310,2018.46,102310,4
YAMAGUCHI Akane,90090,2018.46,90090,5
PUSARLA V. Sindhu,77870,2018.46,77870,6
HE Bingjiao,65650,2018.46,65650,7
INTANON Ratchanok,53430,2018.46,53430,8
NEHWAL Saina,41210,2018.46,41210,9
SUNG Ji Hyun,28990,2018.46,28990,10
TAI Tzu Ying,144797,2018.47,144797,1
CHEN Yufei,138769,2018.47,138769,2
OKUHARA Nozomi,132741,2018.47,132741,3
YAMAGUCHI Akane,126713,2018.47,126713,4
MARIN Carolina,120685,2018.47,120685,5
PUSARLA V. Sindhu,114657,2018.47,114657,6
HE Bingjiao,108629,2018.47,108629,7
INTANON Ratchanok,102601,2018.47,102601,8
NEHWAL Saina,96573,2018.47,96573,9
SUNG Ji Hyun,90545,2018.47,90545,10
TAI Tzu Ying,148768,2018.48,148768,1
CHEN Yufei,137689,2018.48,137689,2
OKUHARA Nozomi,126610,2018.48,126610,3
YAMAGUCHI Akane,115531,2018.48,115531,4
MARIN Carolina,104452,2018.48,104452,5
PUSARLA V. Sindhu,93373,2018.48,93373,6
HE Bingjiao,82294,2018.48,82294,7
INTANON Ratchanok,71215,2018.48,71215,8
NEHWAL Saina,60136,2018.48,60136,9
SUNG Ji Hyun,49057,2018.48,49057,10
TAI Tzu Ying,128779,2018.49,128779,1
CHEN Yufei,117680,2018.49,117680,2
OKUHARA Nozomi,106581,2018.49,106581,3
YAMAGUCHI Akane,95482,2018.49,95482,4
MARIN Carolina,84383,2018.49,84383,5
PUSARLA V. Sindhu,73284,2018.49,73284,6
HE Bingjiao,62185,2018.49,62185,7
INTANON Ratchanok,51086,2018.49,51086,8
NEHWAL Saina,39987,2018.49,39987,9
SUNG Ji Hyun,28888,2018.49,28888,10
TAI Tzu Ying,139876,2018.50,139876,1
CHEN Yufei,125698,2018.50,125698,2
OKUHARA Nozomi,111520,2018.50,111520,3
YAMAGUCHI Akane,97342,2018.50,97342,4
MARIN Carolina,83164,2018.50,83164,5
PUSARLA V. Sindhu,68986,2018.50,68986,6
HE Bingjiao,54808,2018.50,54808,7
INTANON Ratchanok,40630,2018.50,40630,8
NEHWAL Saina,26452,2018.50,26452,9
SUNG Ji Hyun,12274,2018.50,12274,10
TAI Tzu Ying,149865,2018.51,149865,1
CHEN Yufei,135876,2018.51,135876,2
OKUHARA Nozomi,121887,2018.51,121887,3
YAMAGUCHI Akane,107898,2018.51,107898,4
MARIN Carolina,93909,2018.51,93909,5
PUSARLA V. Sindhu,79920,2018.51,79920,6
HE Bingjiao,65931,2018.51,65931,7
INTANON Ratchanok,51942,2018.51,51942,8
NEHWAL Saina,37953,2018.51,37953,9
SUNG Ji Hyun,23964,2018.51,23964,10
TAI Tzu Ying,123987,2018.52,123987,1
OKUHARA Nozomi,115687,2018.52,115687,2
CHEN Yufei,107387,2018.52,107387,3
YAMAGUCHI Akane,99087,2018.52,99087,4
MARIN Carolina,90787,2018.52,90787,5
PUSARLA V. Sindhu,82487,2018.52,82487,6
HE Bingjiao,74187,2018.52,74187,7
INTANON Ratchanok,65887,2018.52,65887,8
NEHWAL Saina,57587,2018.52,57587,9
SUNG Ji Hyun,49287,2018.52,49287,10
TAI Tzu Ying,110000,2017.01,110000,1
OKUHARA Nozomi,90000,2017.01,90000,2
PUSARLA V. Sindhu,80000,2017.01,80000,3
CHEN Yufei,70000,2017.01,70000,4
YAMAGUCHI Akane,60000,2017.01,60000,5
MARIN Carolina,50000,2017.01,50000,6
HE Bingjiao,40000,2017.01,40000,7
INTANON Ratchanok,30000,2017.01,30000,8
NEHWAL Saina,20000,2017.01,20000,9
ZHANG Beiwen,10000,2017.01,10000,10
TAI Tzu Ying,120000,2017.02,120000,1
OKUHARA Nozomi,110000,2017.02,110000,2
PUSARLA V. Sindhu,100000,2017.02,100000,3
CHEN Yufei,90000,2017.02,90000,4
YAMAGUCHI Akane,80000,2017.02,80000,5
MARIN Carolina,70000,2017.02,70000,6
HE Bingjiao,60000,2017.02,60000,7
INTANON Ratchanok,50000,2017.02,50000,8
NEHWAL Saina,40000,2017.02,40000,9
ZHANG Beiwen,30000,2017.02,30000,10
TAI Tzu Ying,129876,2017.03,129876,1
OKUHARA Nozomi,115879,2017.03,115879,2
PUSARLA V. Sindhu,101882,2017.03,101882,3
CHEN Yufei,87885,2017.03,87885,4
YAMAGUCHI Akane,73888,2017.03,73888,5
MARIN Carolina,59891,2017.03,59891,6
HE Bingjiao,45894,2017.03,45894,7
INTANON Ratchanok,31897,2017.03,31897,8
NEHWAL Saina,17900,2017.03,17900,9
ZHANG Beiwen,3903,2017.03,3903,10
TAI Tzu Ying,138970,2017.04,138970,1
OKUHARA Nozomi,126750,2017.04,126750,2
PUSARLA V. Sindhu,114530,2017.04,114530,3
MARIN Carolina,102310,2017.04,102310,4
CHEN Yufei,90090,2017.04,90090,5
YAMAGUCHI Akane,77870,2017.04,77870,6
HE Bingjiao,65650,2017.04,65650,7
INTANON Ratchanok,53430,2017.04,53430,8
NEHWAL Saina,41210,2017.04,41210,9
ZHANG Beiwen,28990,2017.04,28990,10
TAI Tzu Ying,144797,2017.05,144797,1
MARIN Carolina,138769,2017.05,138769,2
OKUHARA Nozomi,132741,2017.05,132741,3
PUSARLA V. Sindhu,126713,2017.05,126713,4
CHEN Yufei,120685,2017.05,120685,5
YAMAGUCHI Akane,114657,2017.05,114657,6
HE Bingjiao,108629,2017.05,108629,7
INTANON Ratchanok,102601,2017.05,102601,8
NEHWAL Saina,96573,2017.05,96573,9
ZHANG Beiwen,90545,2017.05,90545,10
TAI Tzu Ying,148768,2017.06,148768,1
MARIN Carolina,137689,2017.06,137689,2
OKUHARA Nozomi,126610,2017.06,126610,3
CHEN Yufei,115531,2017.06,115531,4
YAMAGUCHI Akane,104452,2017.06,104452,5
PUSARLA V. Sindhu,93373,2017.06,93373,6
HE Bingjiao,82294,2017.06,82294,7
INTANON Ratchanok,71215,2017.06,71215,8
NEHWAL Saina,60136,2017.06,60136,9
SUNG Ji Hyun,49057,2017.06,49057,10
TAI Tzu Ying,128779,2017.07,128779,1
MARIN Carolina,117680,2017.07,117680,2
OKUHARA Nozomi,106581,2017.07,106581,3
CHEN Yufei,95482,2017.07,95482,4
YAMAGUCHI Akane,84383,2017.07,84383,5
PUSARLA V. Sindhu,73284,2017.07,73284,6
HE Bingjiao,62185,2017.07,62185,7
INTANON Ratchanok,51086,2017.07,51086,8
NEHWAL Saina,39987,2017.07,39987,9
TAKAHASHI Sayaka,28888,2017.07,28888,10
TAI Tzu Ying,139876,2017.08,139876,1
OKUHARA Nozomi,125698,2017.08,125698,2
MARIN Carolina,111520,2017.08,111520,3
CHEN Yufei,97342,2017.08,97342,4
YAMAGUCHI Akane,83164,2017.08,83164,5
PUSARLA V. Sindhu,68986,2017.08,68986,6
HE Bingjiao,54808,2017.08,54808,7
INTANON Ratchanok,40630,2017.08,40630,8
NEHWAL Saina,26452,2017.08,26452,9
TAKAHASHI Sayaka,12274,2017.08,12274,10
TAI Tzu Ying,149865,2017.09,149865,1
OKUHARA Nozomi,135876,2017.09,135876,2
MARIN Carolina,121887,2017.09,121887,3
CHEN Yufei,107898,2017.09,107898,4
YAMAGUCHI Akane,93909,2017.09,93909,5
PUSARLA V. Sindhu,79920,2017.09,79920,6
HE Bingjiao,65931,2017.09,65931,7
INTANON Ratchanok,51942,2017.09,51942,8
NEHWAL Saina,37953,2017.09,37953,9
SUNG Ji Hyun,23964,2017.09,23964,10
TAI Tzu Ying,123987,2017.10,123987,1
OKUHARA Nozomi,115687,2017.10,115687,2
MARIN Carolina,107387,2017.10,107387,3
CHEN Yufei,99087,2017.10,99087,4
YAMAGUCHI Akane,90787,2017.10,90787,5
PUSARLA V. Sindhu,82487,2017.10,82487,6
HE Bingjiao,74187,2017.10,74187,7
INTANON Ratchanok,65887,2017.10,65887,8
NEHWAL Saina,57587,2017.10,57587,9
SUNG Ji Hyun,49287,2017.10,49287,10
TAI Tzu Ying,153789,2017.11,153789,1
CHEN Yufei,148865,2017.11,148865,2
OKUHARA Nozomi,143941,2017.11,143941,3
YAMAGUCHI Akane,139017,2017.11,139017,4
MARIN Carolina,134093,2017.11,134093,5
PUSARLA V. Sindhu,129169,2017.11,129169,6
HE Bingjiao,124245,2017.11,124245,7
INTANON Ratchanok,119321,2017.11,119321,8
NEHWAL Saina,114397,2017.11,114397,9
SUNG Ji Hyun,109473,2017.11,109473,10
TAI Tzu Ying,137649,2017.12,137649,1
CHEN Yufei,126798,2017.12,126798,2
OKUHARA Nozomi,115947,2017.12,115947,3
YAMAGUCHI Akane,105096,2017.12,105096,4
MARIN Carolina,94245,2017.12,94245,5
PUSARLA V. Sindhu,83394,2017.12,83394,6
HE Bingjiao,72543,2017.12,72543,7
INTANON Ratchanok,61692,2017.12,61692,8
NEHWAL Saina,50841,2017.12,50841,9
SUNG Ji Hyun,39990,2017.12,39990,10
TAI Tzu Ying,133367,2017.13,133367,1
CHEN Yufei,129965,2017.13,129965,2
OKUHARA Nozomi,126563,2017.13,126563,3
YAMAGUCHI Akane,123161,2017.13,123161,4
MARIN Carolina,119759,2017.13,119759,5
PUSARLA V. Sindhu,116357,2017.13,116357,6
HE Bingjiao,112955,2017.13,112955,7
INTANON Ratchanok,109553,2017.13,109553,8
NEHWAL Saina,106151,2017.13,106151,9
SUNG Ji Hyun,102749,2017.13,102749,10
TAI Tzu Ying,129766,2017.14,129766,1
CHEN Yufei,119968,2017.14,119968,2
OKUHARA Nozomi,110170,2017.14,110170,3
YAMAGUCHI Akane,100372,2017.14,100372,4
MARIN Carolina,90574,2017.14,90574,5
PUSARLA V. Sindhu,80776,2017.14,80776,6
HE Bingjiao,70978,2017.14,70978,7
INTANON Ratchanok,61180,2017.14,61180,8
NEHWAL Saina,51382,2017.14,51382,9
SUNG Ji Hyun,41584,2017.14,41584,10
TAI Tzu Ying,139985,2017.15,139985,1
CHEN Yufei,123377,2017.15,123377,2
OKUHARA Nozomi,106769,2017.15,106769,3
YAMAGUCHI Akane,90161,2017.15,90161,4
MARIN Carolina,73553,2017.15,73553,5
PUSARLA V. Sindhu,56945,2017.15,56945,6
HE Bingjiao,40337,2017.15,40337,7
INTANON Ratchanok,23729,2017.15,23729,8
NEHWAL Saina,7121,2017.15,7121,9
SUNG Ji Hyun,5587,2017.15,5587,10
TAI Tzu Ying,129900,2017.16,129900,1
OKUHARA Nozomi,119865,2017.16,119865,2
CHEN Yufei,109830,2017.16,109830,3
YAMAGUCHI Akane,99795,2017.16,99795,4
MARIN Carolina,89760,2017.16,89760,5
PUSARLA V. Sindhu,79725,2017.16,79725,6
HE Bingjiao,69690,2017.16,69690,7
INTANON Ratchanok,59655,2017.16,59655,8
NEHWAL Saina,49620,2017.16,49620,9
SUNG Ji Hyun,39585,2017.16,39585,10
TAI Tzu Ying,169437,2017.17,169437,1
OKUHARA Nozomi,159985,2017.17,159985,2
CHEN Yufei,150533,2017.17,150533,3
YAMAGUCHI Akane,141081,2017.17,141081,4
MARIN Carolina,131629,2017.17,131629,5
PUSARLA V. Sindhu,122177,2017.17,122177,6
HE Bingjiao,112725,2017.17,112725,7
INTANON Ratchanok,103273,2017.17,103273,8
NEHWAL Saina,93821,2017.17,93821,9
SUNG Ji Hyun,84369,2017.17,84369,10
TAI Tzu Ying,110967,2017.18,110967,1
OKUHARA Nozomi,105587,2017.18,105587,2
CHEN Yufei,100207,2017.18,100207,3
YAMAGUCHI Akane,94827,2017.18,94827,4
PUSARLA V. Sindhu,89447,2017.18,89447,5
HE Bingjiao,84067,2017.18,84067,6
INTANON Ratchanok,78687,2017.18,78687,7
MARIN Carolina,73307,2017.18,73307,8
NEHWAL Saina,67927,2017.18,67927,9
SUNG Ji Hyun,62547,2017.18,62547,10
TAI Tzu Ying,150965,2017.19,150965,1
OKUHARA Nozomi,148764,2017.19,148764,2
PUSARLA V. Sindhu,146563,2017.19,146563,3
CHEN Yufei,144362,2017.19,144362,4
YAMAGUCHI Akane,142161,2017.19,142161,5
MARIN Carolina,139960,2017.19,139960,6
HE Bingjiao,137759,2017.19,137759,7
INTANON Ratchanok,135558,2017.19,135558,8
NEHWAL Saina,133357,2017.19,133357,9
ZHANG Beiwen,131156,2017.19,131156,10
TAI Tzu Ying,120648,2017.20,120648,1
OKUHARA Nozomi,119654,2017.20,119654,2
PUSARLA V. Sindhu,118660,2017.20,118660,3
CHEN Yufei,117666,2017.20,117666,4
YAMAGUCHI Akane,116672,2017.20,116672,5
MARIN Carolina,115678,2017.20,115678,6
HE Bingjiao,114684,2017.20,114684,7
INTANON Ratchanok,113690,2017.20,113690,8
NEHWAL Saina,112696,2017.20,112696,9
ZHANG Beiwen,111702,2017.20,111702,10
TAI Tzu Ying,148753,2017.21,148753,1
OKUHARA Nozomi,139766,2017.21,139766,2
PUSARLA V. Sindhu,130779,2017.21,130779,3
CHEN Yufei,121792,2017.21,121792,4
YAMAGUCHI Akane,112805,2017.21,112805,5
MARIN Carolina,103818,2017.21,103818,6
HE Bingjiao,94831,2017.21,94831,7
INTANON Ratchanok,85844,2017.21,85844,8
NEHWAL Saina,76857,2017.21,76857,9
ZHANG Beiwen,67870,2017.21,67870,10
TAI Tzu Ying,110000,2017.22,110000,1
OKUHARA Nozomi,90000,2017.22,90000,2
PUSARLA V. Sindhu,80000,2017.22,80000,3
MARIN Carolina,70000,2017.22,70000,4
CHEN Yufei,60000,2017.22,60000,5
YAMAGUCHI Akane,50000,2017.22,50000,6
HE Bingjiao,40000,2017.22,40000,7
INTANON Ratchanok,30000,2017.22,30000,8
NEHWAL Saina,20000,2017.22,20000,9
ZHANG Beiwen,10000,2017.22,10000,10
TAI Tzu Ying,120000,2017.23,120000,1
MARIN Carolina,110000,2017.23,110000,2
OKUHARA Nozomi,100000,2017.23,100000,3
PUSARLA V. Sindhu,90000,2017.23,90000,4
CHEN Yufei,80000,2017.23,80000,5
YAMAGUCHI Akane,70000,2017.23,70000,6
HE Bingjiao,60000,2017.23,60000,7
INTANON Ratchanok,50000,2017.23,50000,8
NEHWAL Saina,40000,2017.23,40000,9
ZHANG Beiwen,30000,2017.23,30000,10
TAI Tzu Ying,129876,2017.24,129876,1
MARIN Carolina,115879,2017.24,115879,2
OKUHARA Nozomi,101882,2017.24,101882,3
CHEN Yufei,87885,2017.24,87885,4
YAMAGUCHI Akane,73888,2017.24,73888,5
PUSARLA V. Sindhu,59891,2017.24,59891,6
HE Bingjiao,45894,2017.24,45894,7
INTANON Ratchanok,31897,2017.24,31897,8
NEHWAL Saina,17900,2017.24,17900,9
SUNG Ji Hyun,3903,2017.24,3903,10
TAI Tzu Ying,138970,2017.25,138970,1
MARIN Carolina,126750,2017.25,126750,2
OKUHARA Nozomi,114530,2017.25,114530,3
CHEN Yufei,102310,2017.25,102310,4
YAMAGUCHI Akane,90090,2017.25,90090,5
PUSARLA V. Sindhu,77870,2017.25,77870,6
HE Bingjiao,65650,2017.25,65650,7
INTANON Ratchanok,53430,2017.25,53430,8
NEHWAL Saina,41210,2017.25,41210,9
TAKAHASHI Sayaka,28990,2017.25,28990,10
TAI Tzu Ying,144797,2017.26,144797,1
OKUHARA Nozomi,138769,2017.26,138769,2
MARIN Carolina,132741,2017.26,132741,3
CHEN Yufei,126713,2017.26,126713,4
YAMAGUCHI Akane,120685,2017.26,120685,5
PUSARLA V. Sindhu,114657,2017.26,114657,6
HE Bingjiao,108629,2017.26,108629,7
INTANON Ratchanok,102601,2017.26,102601,8
NEHWAL Saina,96573,2017.26,96573,9
TAKAHASHI Sayaka,90545,2017.26,90545,10
TAI Tzu Ying,148768,2017.27,148768,1
OKUHARA Nozomi,137689,2017.27,137689,2
MARIN Carolina,126610,2017.27,126610,3
CHEN Yufei,115531,2017.27,115531,4
YAMAGUCHI Akane,104452,2017.27,104452,5
PUSARLA V. Sindhu,93373,2017.27,93373,6
HE Bingjiao,82294,2017.27,82294,7
INTANON Ratchanok,71215,2017.27,71215,8
NEHWAL Saina,60136,2017.27,60136,9
SUNG Ji Hyun,49057,2017.27,49057,10
TAI Tzu Ying,128779,2017.28,128779,1
OKUHARA Nozomi,117680,2017.28,117680,2
MARIN Carolina,106581,2017.28,106581,3
CHEN Yufei,95482,2017.28,95482,4
YAMAGUCHI Akane,84383,2017.28,84383,5
PUSARLA V. Sindhu,73284,2017.28,73284,6
HE Bingjiao,62185,2017.28,62185,7
INTANON Ratchanok,51086,2017.28,51086,8
NEHWAL Saina,39987,2017.28,39987,9
SUNG Ji Hyun,28888,2017.28,28888,10
TAI Tzu Ying,139876,2017.29,139876,1
CHEN Yufei,125698,2017.29,125698,2
OKUHARA Nozomi,111520,2017.29,111520,3
YAMAGUCHI Akane,97342,2017.29,97342,4
MARIN Carolina,83164,2017.29,83164,5
PUSARLA V. Sindhu,68986,2017.29,68986,6
HE Bingjiao,54808,2017.29,54808,7
INTANON Ratchanok,40630,2017.29,40630,8
NEHWAL Saina,26452,2017.29,26452,9
SUNG Ji Hyun,12274,2017.29,12274,10
TAI Tzu Ying,149865,2017.30,149865,1
CHEN Yufei,135876,2017.30,135876,2
OKUHARA Nozomi,121887,2017.30,121887,3
YAMAGUCHI Akane,107898,2017.30,107898,4
MARIN Carolina,93909,2017.30,93909,5
PUSARLA V. Sindhu,79920,2017.30,79920,6
HE Bingjiao,65931,2017.30,65931,7
INTANON Ratchanok,51942,2017.30,51942,8
NEHWAL Saina,37953,2017.30,37953,9
SUNG Ji Hyun,23964,2017.30,23964,10
TAI Tzu Ying,123987,2017.31,123987,1
CHEN Yufei,115687,2017.31,115687,2
OKUHARA Nozomi,107387,2017.31,107387,3
YAMAGUCHI Akane,99087,2017.31,99087,4
MARIN Carolina,90787,2017.31,90787,5
PUSARLA V. Sindhu,82487,2017.31,82487,6
HE Bingjiao,74187,2017.31,74187,7
INTANON Ratchanok,65887,2017.31,65887,8
NEHWAL Saina,57587,2017.31,57587,9
SUNG Ji Hyun,49287,2017.31,49287,10
TAI Tzu Ying,153789,2017.32,153789,1
CHEN Yufei,148865,2017.32,148865,2
OKUHARA Nozomi,143941,2017.32,143941,3
YAMAGUCHI Akane,139017,2017.32,139017,4
MARIN Carolina,134093,2017.32,134093,5
PUSARLA V. Sindhu,129169,2017.32,129169,6
HE Bingjiao,124245,2017.32,124245,7
INTANON Ratchanok,119321,2017.32,119321,8
NEHWAL Saina,114397,2017.32,114397,9
SUNG Ji Hyun,109473,2017.32,109473,10
TAI Tzu Ying,137649,2017.33,137649,1
CHEN Yufei,126798,2017.33,126798,2
OKUHARA Nozomi,115947,2017.33,115947,3
YAMAGUCHI Akane,105096,2017.33,105096,4
MARIN Carolina,94245,2017.33,94245,5
PUSARLA V. Sindhu,83394,2017.33,83394,6
HE Bingjiao,72543,2017.33,72543,7
INTANON Ratchanok,61692,2017.33,61692,8
NEHWAL Saina,50841,2017.33,50841,9
SUNG Ji Hyun,39990,2017.33,39990,10
TAI Tzu Ying,133367,2017.34,133367,1
OKUHARA Nozomi,129965,2017.34,129965,2
CHEN Yufei,126563,2017.34,126563,3
YAMAGUCHI Akane,123161,2017.34,123161,4
MARIN Carolina,119759,2017.34,119759,5
PUSARLA V. Sindhu,116357,2017.34,116357,6
HE Bingjiao,112955,2017.34,112955,7
INTANON Ratchanok,109553,2017.34,109553,8
NEHWAL Saina,106151,2017.34,106151,9
SUNG Ji Hyun,102749,2017.34,102749,10
TAI Tzu Ying,129766,2017.35,129766,1
OKUHARA Nozomi,119968,2017.35,119968,2
CHEN Yufei,110170,2017.35,110170,3
YAMAGUCHI Akane,100372,2017.35,100372,4
MARIN Carolina,90574,2017.35,90574,5
PUSARLA V. Sindhu,80776,2017.35,80776,6
HE Bingjiao,70978,2017.35,70978,7
INTANON Ratchanok,61180,2017.35,61180,8
NEHWAL Saina,51382,2017.35,51382,9
SUNG Ji Hyun,41584,2017.35,41584,10
TAI Tzu Ying,139985,2017.36,139985,1
OKUHARA Nozomi,123377,2017.36,123377,2
CHEN Yufei,106769,2017.36,106769,3
YAMAGUCHI Akane,90161,2017.36,90161,4
PUSARLA V. Sindhu,73553,2017.36,73553,5
HE Bingjiao,56945,2017.36,56945,6
INTANON Ratchanok,40337,2017.36,40337,7
MARIN Carolina,23729,2017.36,23729,8
NEHWAL Saina,7121,2017.36,7121,9
SUNG Ji Hyun,5587,2017.36,5587,10
TAI Tzu Ying,129900,2017.37,129900,1
OKUHARA Nozomi,119865,2017.37,119865,2
PUSARLA V. Sindhu,109830,2017.37,109830,3
CHEN Yufei,99795,2017.37,99795,4
YAMAGUCHI Akane,89760,2017.37,89760,5
MARIN Carolina,79725,2017.37,79725,6
HE Bingjiao,69690,2017.37,69690,7
INTANON Ratchanok,59655,2017.37,59655,8
NEHWAL Saina,49620,2017.37,49620,9
ZHANG Beiwen,39585,2017.37,39585,10
TAI Tzu Ying,169437,2017.38,169437,1
OKUHARA Nozomi,159985,2017.38,159985,2
PUSARLA V. Sindhu,150533,2017.38,150533,3
CHEN Yufei,141081,2017.38,141081,4
YAMAGUCHI Akane,131629,2017.38,131629,5
MARIN Carolina,122177,2017.38,122177,6
HE Bingjiao,112725,2017.38,112725,7
INTANON Ratchanok,103273,2017.38,103273,8
NEHWAL Saina,93821,2017.38,93821,9
ZHANG Beiwen,84369,2017.38,84369,10
TAI Tzu Ying,110967,2017.39,110967,1
OKUHARA Nozomi,105587,2017.39,105587,2
PUSARLA V. Sindhu,100207,2017.39,100207,3
CHEN Yufei,94827,2017.39,94827,4
YAMAGUCHI Akane,89447,2017.39,89447,5
MARIN Carolina,84067,2017.39,84067,6
HE Bingjiao,78687,2017.39,78687,7
INTANON Ratchanok,73307,2017.39,73307,8
NEHWAL Saina,67927,2017.39,67927,9
ZHANG Beiwen,62547,2017.39,62547,10
TAI Tzu Ying,150965,2017.40,150965,1
OKUHARA Nozomi,148764,2017.40,148764,2
PUSARLA V. Sindhu,146563,2017.40,146563,3
MARIN Carolina,144362,2017.40,144362,4
CHEN Yufei,142161,2017.40,142161,5
YAMAGUCHI Akane,139960,2017.40,139960,6
HE Bingjiao,137759,2017.40,137759,7
INTANON Ratchanok,135558,2017.40,135558,8
NEHWAL Saina,133357,2017.40,133357,9
ZHANG Beiwen,131156,2017.40,131156,10
TAI Tzu Ying,120648,2017.41,120648,1
MARIN Carolina,119654,2017.41,119654,2
OKUHARA Nozomi,118660,2017.41,118660,3
PUSARLA V. Sindhu,117666,2017.41,117666,4
CHEN Yufei,116672,2017.41,116672,5
YAMAGUCHI Akane,115678,2017.41,115678,6
HE Bingjiao,114684,2017.41,114684,7
INTANON Ratchanok,113690,2017.41,113690,8
NEHWAL Saina,112696,2017.41,112696,9
ZHANG Beiwen,111702,2017.41,111702,10
TAI Tzu Ying,148753,2017.42,148753,1
MARIN Carolina,139766,2017.42,139766,2
OKUHARA Nozomi,130779,2017.42,130779,3
CHEN Yufei,121792,2017.42,121792,4
YAMAGUCHI Akane,112805,2017.42,112805,5
PUSARLA V. Sindhu,103818,2017.42,103818,6
HE Bingjiao,94831,2017.42,94831,7
INTANON Ratchanok,85844,2017.42,85844,8
NEHWAL Saina,76857,2017.42,76857,9
SUNG Ji Hyun,67870,2017.42,67870,10
TAI Tzu Ying,110000,2017.43,110000,1
MARIN Carolina,90000,2017.43,90000,2
OKUHARA Nozomi,80000,2017.43,80000,3
CHEN Yufei,70000,2017.43,70000,4
YAMAGUCHI Akane,60000,2017.43,60000,5
PUSARLA V. Sindhu,50000,2017.43,50000,6
HE Bingjiao,40000,2017.43,40000,7
INTANON Ratchanok,30000,2017.43,30000,8
NEHWAL Saina,20000,2017.43,20000,9
TAKAHASHI Sayaka,10000,2017.43,10000,10
TAI Tzu Ying,120000,2017.44,120000,1
OKUHARA Nozomi,110000,2017.44,110000,2
MARIN Carolina,100000,2017.44,100000,3
CHEN Yufei,90000,2017.44,90000,4
YAMAGUCHI Akane,80000,2017.44,80000,5
PUSARLA V. Sindhu,70000,2017.44,70000,6
HE Bingjiao,60000,2017.44,60000,7
INTANON Ratchanok,50000,2017.44,50000,8
NEHWAL Saina,40000,2017.44,40000,9
TAKAHASHI Sayaka,30000,2017.44,30000,10
TAI Tzu Ying,129876,2017.45,129876,1
OKUHARA Nozomi,115879,2017.45,115879,2
MARIN Carolina,101882,2017.45,101882,3
CHEN Yufei,87885,2017.45,87885,4
YAMAGUCHI Akane,73888,2017.45,73888,5
PUSARLA V. Sindhu,59891,2017.45,59891,6
HE Bingjiao,45894,2017.45,45894,7
INTANON Ratchanok,31897,2017.45,31897,8
NEHWAL Saina,17900,2017.45,17900,9
SUNG Ji Hyun,3903,2017.45,3903,10
TAI Tzu Ying,138970,2017.46,138970,1
OKUHARA Nozomi,126750,2017.46,126750,2
MARIN Carolina,114530,2017.46,114530,3
CHEN Yufei,102310,2017.46,102310,4
YAMAGUCHI Akane,90090,2017.46,90090,5
PUSARLA V. Sindhu,77870,2017.46,77870,6
HE Bingjiao,65650,2017.46,65650,7
INTANON Ratchanok,53430,2017.46,53430,8
NEHWAL Saina,41210,2017.46,41210,9
SUNG Ji Hyun,28990,2017.46,28990,10
TAI Tzu Ying,144797,2017.47,144797,1
CHEN Yufei,138769,2017.47,138769,2
OKUHARA Nozomi,132741,2017.47,132741,3
YAMAGUCHI Akane,126713,2017.47,126713,4
